trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	initialAngle	initialOtherAngle	cueFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
110	temp	1	Part1	near_displaced	circle	2	1.9000000000000004	standard	staircase	1.5399	4.6815	120	0	5.722	1	0	2	2.7276	3.7731	-999	-999	-999	-999	-999	-999	-999	-999
111	temp	1	Part1	near_displaced	circle	2	1.9000000000000004	varying	staircase	2.246	5.3876	120	1	5.282	1	0	3	2.3044	2.9336	3.9512	-999	-999	-999	-999	-999	-999	-999
112	temp	1	Part1	near_displaced	circle	2	2.0000000000000004	varying	staircase	1.1773	4.3189	120	1	6.056	1	0	2	2.9531	4.8265	-999	-999	-999	-999	-999	-999	-999	-999
113	temp	1	Part1	far_displaced	circle	2	1.9	standard	staircase	0.9351	4.0767	120	1	5.788	1	0	2	2.9102	4.8907	-999	-999	-999	-999	-999	-999	-999	-999
114	temp	1	Part1	far_displaced	circle	2	1.5499999999999998	varying	staircase	2.3648	5.5064	120	1	5.881	1	0	2	2.4391	3.9285	-999	-999	-999	-999	-999	-999	-999	-999
115	temp	1	Part1	centred	circle	2	1.6500000000000004	standard	staircase	3.1112	6.2528	120	1	5.482	1	0	2	2.9202	4.1481	-999	-999	-999	-999	-999	-999	-999	-999
116	temp	1	Part1	far_displaced	circle	2	1.9	standard	staircase	2.1749	5.3165	120	1	6.242	1	0	3	2.4934	3.1304	4.3823	-999	-999	-999	-999	-999	-999	-999
117	temp	1	Part1	near_displaced	circle	2	1.8500000000000003	standard	staircase	3.9885	0.8469	120	0	5.882	1	0	2	1.8019	3.664	-999	-999	-999	-999	-999	-999	-999	-999
118	temp	1	Part1	near_displaced	circle	2	1.8000000000000003	standard	staircase	2.1947	5.3363	120	0	5.415	1	0	2	2.8574	4.1654	-999	-999	-999	-999	-999	-999	-999	-999
119	temp	1	Part1	near_displaced	circle	2	2.0000000000000004	varying	staircase	1.531	4.6726	120	1	5.602	1	0	3	2.7191	3.3301	4.2167	-999	-999	-999	-999	-999	-999	-999
120	temp	1	Part1	near_displaced	circle	2	1.7500000000000002	standard	staircase	2.3124	5.454	120	1	5.494	1	0	2	2.1464	4.0343	-999	-999	-999	-999	-999	-999	-999	-999
121	temp	1	Part1	near_displaced	circle	2	2.0000000000000004	varying	staircase	5.5562	2.4146	120	1	5.429	1	0	2	2.3432	3.5686	-999	-999	-999	-999	-999	-999	-999	-999
122	temp	1	Part1	near_displaced	circle	2	1.7500000000000002	standard	staircase	5.8711	2.7295	120	0	6.015	1	0	2	2.2833	4.273	-999	-999	-999	-999	-999	-999	-999	-999
123	temp	1	Part1	near_displaced	circle	2	1.7000000000000002	standard	staircase	1.762	4.9036	120	0	5.961	1	0	2	2.5391	4.0727	-999	-999	-999	-999	-999	-999	-999	-999
124	temp	1	Part1	far_displaced	circle	2	1.5499999999999998	varying	staircase	3.3999	0.2583	120	1	5.749	1	0	2	2.1639	3.5988	-999	-999	-999	-999	-999	-999	-999	-999
125	temp	1	Part1	far_displaced	circle	2	1.9	standard	staircase	3.5421	0.4005	120	0	5.761	1	0	2	2.3618	3.9311	-999	-999	-999	-999	-999	-999	-999	-999
126	temp	1	Part1	near_displaced	circle	2	2.1000000000000005	varying	staircase	5.115	1.9734	120	1	5.829	1	0	3	1.8973	3.3091	4.3137	-999	-999	-999	-999	-999	-999	-999
127	temp	1	Part1	far_displaced	circle	2	1.5999999999999996	varying	staircase	1.2309	4.3725	120	0	5.722	1	0	2	3.1544	4.7907	-999	-999	-999	-999	-999	-999	-999	-999
128	temp	1	Part1	centred	circle	2	1.7000000000000004	standard	staircase	3.5394	0.3978	120	0	5.548	1	0	2	3.0326	4.7518	-999	-999	-999	-999	-999	-999	-999	-999
129	temp	1	Part1	far_displaced	circle	2	1.5499999999999998	varying	staircase	5.0064	1.8648	120	1	5.468	1	0	2	2.5729	3.9653	-999	-999	-999	-999	-999	-999	-999	-999
130	temp	1	Part1	near_displaced	circle	2	2.1000000000000005	varying	staircase	0.2644	3.406	120	0	5.455	1	0	2	1.9235	3.7002	-999	-999	-999	-999	-999	-999	-999	-999
131	temp	1	Part1	near_displaced	circle	2	2.0500000000000007	varying	staircase	1.261	4.4026	120	0	5.602	1	0	3	2.3678	2.9448	4.6549	-999	-999	-999	-999	-999	-999	-999
132	temp	1	Part1	far_displaced	circle	2	1.8499999999999999	standard	staircase	3.3547	0.2131	120	0	5.453	1	0	3	1.7295	2.9666	3.6361	-999	-999	-999	-999	-999	-999	-999
133	temp	1	Part1	centred	circle	2	1.6500000000000004	standard	staircase	0.6329	3.7745	120	0	5.455	1	0	2	2.4553	3.7099	-999	-999	-999	-999	-999	-999	-999	-999
134	temp	1	Part1	near_displaced	circle	2	1.6500000000000004	standard	staircase	4.7913	1.6497	120	0	5.321	1	0	2	2.2833	3.6859	-999	-999	-999	-999	-999	-999	-999	-999
