trialnum	subject	session	part	condition	basicShape	numObjects	speed	initialAngle	initialOtherAngle	cueFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
49	temp	1	Part1_2_Combined	near_displaced	circle	2	0.7999999999999998	1.1139	4.2555	120	1	5.589	1	0	3	2.2136	3.3157	3.8889	-999	-999	-999	-999	-999	-999	-999
50	temp	1	Part1_2_Combined	far_displaced	circle	2	0.03	3.6204	0.4788	120	1	5.868	1	0	2	2.408	4.1879	-999	-999	-999	-999	-999	-999	-999	-999
51	temp	1	Part1_2_Combined	centred	circle	2	2.2	2.1315	5.2731	120	1	5.615	1	0	2	2.8147	4.6244	-999	-999	-999	-999	-999	-999	-999	-999
52	temp	1	Part1_2_Combined	far_displaced	circle	2	0.03	0.8528	3.9944	120	1	6.109	1	0	3	2.0982	3.4986	5.0331	-999	-999	-999	-999	-999	-999	-999
53	temp	1	Part1_2_Combined	far_displaced	circle	2	0.03	0.8909	4.0324	120	1	5.709	1	0	2	2.5936	4.4232	-999	-999	-999	-999	-999	-999	-999	-999
54	temp	1	Part1_2_Combined	far_displaced	circle	2	2.2	2.6483	5.7899	120	1	6.242	1	0	3	2.2223	3.1838	4.0045	-999	-999	-999	-999	-999	-999	-999
55	temp	1	Part1_2_Combined	near_displaced	circle	2	0.7999999999999998	5.3364	2.1949	120	1	5.535	1	0	2	1.7516	3.5015	-999	-999	-999	-999	-999	-999	-999	-999
56	temp	1	Part1_2_Combined	far_displaced	circle	2	0.03	3.6569	0.5153	120	1	6.082	1	0	2	3.0868	4.1871	-999	-999	-999	-999	-999	-999	-999	-999
57	temp	1	Part1_2_Combined	centred	circle	2	2.2	5.6628	2.5212	120	1	5.735	1	0	2	2.1412	3.7612	-999	-999	-999	-999	-999	-999	-999	-999
58	temp	1	Part1_2_Combined	far_displaced	circle	2	0.03	3.1602	0.0186	120	1	5.655	1	0	3	2.1164	3.3827	5.2689	-999	-999	-999	-999	-999	-999	-999
59	temp	1	Part1_2_Combined	far_displaced	circle	2	0.03	1.4963	4.6379	120	1	5.268	1	0	3	2.312	2.855	4.1731	-999	-999	-999	-999	-999	-999	-999
60	temp	1	Part1_2_Combined	near_displaced	circle	2	0.03	2.4083	5.5499	120	1	6.423	1	0	3	1.9066	2.9402	4.0486	-999	-999	-999	-999	-999	-999	-999
61	temp	1	Part1_2_Combined	near_displaced	circle	2	0.03	5.8682	2.7266	120	1	8.339	1	0	3	1.8749	3.1426	4.3963	-999	-999	-999	-999	-999	-999	-999
62	temp	1	Part1_2_Combined	far_displaced	circle	2	2.2	3.0294	6.171	120	0	5.649	1	0	2	2.9127	3.797	-999	-999	-999	-999	-999	-999	-999	-999
63	temp	1	Part1_2_Combined	far_displaced	circle	2	0.03	2.7065	5.8481	120	1	10.505	1	0	3	2.7893	3.4494	4.5675	-999	-999	-999	-999	-999	-999	-999
